北京电信,#genre#
北京IPTV淘娱乐,http://115.171.80.59:8888/udp/225.1.8.61:8002
北京IPTV萌宠TV,http://115.171.80.59:8888/udp/225.1.8.63:8002
北京IPTV4K,http://115.171.80.59:8888/udp/225.1.8.211:8002
熊猫频道,http://115.171.80.59:8888/udp/225.1.8.210:8068
大健康,http://115.171.80.59:8888/udp/225.1.8.39:8002
聚鲨环球精选,http://115.171.80.59:8888/udp/225.1.8.58:8002
聚鲨北京,http://115.171.80.59:8888/udp/225.1.8.59:8002
聚鲨健康,http://115.171.80.59:8888/udp/225.1.8.60:8002
聚鲨生活,http://115.171.80.59:8888/udp/225.1.8.62:8002
聚鲨国际,http://115.171.80.59:8888/udp/225.1.8.66:8002
CGTN,http://115.171.80.59:8888/udp/225.1.8.116:8056
CETV1,http://115.171.80.59:8888/udp/225.1.8.169:4120
CETV2,http://115.171.80.59:8888/udp/225.1.8.193:4120
CETV3,http://115.171.80.59:8888/udp/225.1.8.194:4120
CETV4,http://115.171.80.59:8888/udp/225.1.8.195:4120
金鹰卡通,http://115.171.80.59:8888/udp/225.1.8.163:9252
财富天下,http://115.171.80.59:8888/udp/225.1.8.165:9136
嘉佳卡通,http://115.171.80.59:8888/udp/225.1.8.170:9268
IPTV收视指南,http://115.171.80.59:8888/udp/225.1.8.201:8012
IPTV热播剧场,http://115.171.80.59:8888/udp/225.1.8.202:9020
IPTV经典电影,http://115.171.80.59:8888/udp/225.1.8.203:9024
IPTV魅力时尚,http://115.171.80.59:8888/udp/225.1.8.204:9012
IPTV少儿动画,http://115.171.80.59:8888/udp/225.1.8.207:9000
城市剧场,http://115.171.80.59:8888/udp/225.1.8.227:4120
军旅剧场,http://115.171.80.59:8888/udp/225.1.8.228:4120
古装剧场,http://115.171.80.59:8888/udp/225.1.8.229:4120
音乐现场,http://115.171.80.59:8888/udp/225.1.8.230:4120
地理,http://115.171.80.59:8888/udp/225.1.8.231:4120
美妆,http://115.171.80.59:8888/udp/225.1.8.232:4120
美人,http://115.171.80.59:8888/udp/225.1.8.233:4120
精选,http://115.171.80.59:8888/udp/225.1.8.234:4120
解密,http://115.171.80.59:8888/udp/225.1.8.235:4120
军事,http://115.171.80.59:8888/udp/225.1.8.236:4120
国学,http://115.171.80.59:8888/udp/225.1.8.237:4120
戏曲,http://115.171.80.59:8888/udp/225.1.8.238:4120
早教,http://115.171.80.59:8888/udp/225.1.8.239:4120
动画,http://115.171.80.59:8888/udp/225.1.8.240:4120
好学生,http://115.171.80.59:8888/udp/225.1.8.241:4120
鉴赏,http://115.171.80.59:8888/udp/225.1.8.242:4120
墨宝,http://115.171.80.59:8888/udp/225.1.8.243:4120
光影,http://115.171.80.59:8888/udp/225.1.8.244:4120
台球,http://115.171.80.59:8888/udp/225.1.8.245:4120
爱生活,http://115.171.80.59:8888/udp/225.1.8.246:4120
武术,http://115.171.80.59:8888/udp/225.1.8.247:4120
高网,http://115.171.80.59:8888/udp/225.1.8.248:4120
足球,http://115.171.80.59:8888/udp/225.1.8.249:4120
武侠剧场,http://115.171.80.59:8888/udp/225.1.8.250:4120
喜剧影院,http://115.171.80.59:8888/udp/225.1.8.251:4120
动作影院,http://115.171.80.59:8888/udp/225.1.8.252:4120
